area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2,2,40
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3,2,148
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3,2,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3,3,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4,2,290
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2,2,48
Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1,1,15
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3,1,122
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Soitya ,2800,5,2,380
